hecho_id,sexo,identidad_genero,identidad_genero_otro,tr_edad,mayor_18_anios,tipo_involucrado
11747,Masculino,Varón,No especificado,30-34,Si,victima
11748,Masculino,Varón,No especificado,20-24,Si,victima
11748,No corresponde,No corresponde,No especificado,Sin determinar,Sin determinar,victima
11749,No corresponde,No corresponde,No especificado,Sin determinar,Sin determinar,victima
11749,Masculino,Varón,No especificado,25-29,Si,victima
11750,No corresponde,No corresponde,No especificado,Sin determinar,Sin determinar,victima
11750,Masculino,Varón,No especificado,35-39,Si,victima
11751,No corresponde,No corresponde,No especificado,Sin determinar,Sin determinar,victima
11751,Masculino,Varón,No especificado,60-64,Si,victima
11752,Femenino,Mujer,No especificado,25-29,Si,victima
11752,No corresponde,No corresponde,No especificado,Sin determinar,Sin determinar,victima
11753,Masculino,Varón,No especificado,25-29,Si,victima
11753,No corresponde,No corresponde,No especificado,Sin determinar,Sin determinar,victima
11754,Masculino,Varón,No especificado,75-79,Si,victima
11754,No corresponde,No corresponde,No especificado,Sin determinar,Sin determinar,victima
11755,Masculino,Varón,No especificado,20-24,Si,victima
11755,No corresponde,No corresponde,No especificado,Sin determinar,Sin determinar,victima
11756,Masculino,Varón,No especificado,25-29,Si,victima
11756,No corresponde,No corresponde,No especificado,Sin determinar,Sin determinar,victima
11757,Masculino,Varón,No especificado,20-24,Si,victima
11757,No corresponde,No corresponde,No especificado,Sin determinar,Sin determinar,victima
11758,No corresponde,No corresponde,No especificado,Sin determinar,Sin determinar,victima
11758,Masculino,Varón,No especificado,35-39,Si,victima
11759,No corresponde,No corresponde,No especificado,Sin determinar,Sin determinar,victima
11759,Masculino,Varón,No especificado,40-44,Si,victima
11760,No corresponde,No corresponde,No especificado,Sin determinar,Sin determinar,victima
11760,Masculino,Varón,No especificado,35-39,Si,victima
11761,Masculino,Varón,No especificado,30-34,Si,victima
11761,No corresponde,No corresponde,No especificado,Sin determinar,Sin determinar,victima
11762,No corresponde,No corresponde,No especificado,Sin determinar,Sin determinar,victima
11762,No corresponde,No corresponde,No especificado,Sin determinar,Sin determinar,victima
11762,No corresponde,No corresponde,No especificado,Sin determinar,Sin determinar,victima
11762,No corresponde,No corresponde,No especificado,Sin determinar,Sin determinar,victima
11762,Masculino,Varón,No especificado,30-34,Si,victima
11763,Masculino,Varón,No especificado,40-44,Si,victima
11763,No corresponde,No corresponde,No especificado,Sin determinar,Sin determinar,victima
11764,No corresponde,No corresponde,No especificado,Sin determinar,Sin determinar,victima
