id_hecho,localidad_id,anio,mes,fecha_hecho,hora_hecho,tipo_lugar,tipo_lugar_otro,tipo_lugar_ampliado,motivo_origen_registro,motivo_origen_registro_otro
16210,10.0,2018,12,2018-12-16,20:37:00,Vía pública,No especificado,Vía pública,Denuncia particular,No especificado
16211,60.0,2018,12,2018-12-16,15:22:00,Comercio,No especificado,Comercio,Denuncia particular,No especificado
16212,170.0,2018,11,2018-11-01,21:00:00,Vía pública,No especificado,Vía pública,Intervención policial,No especificado
16213,170.0,2018,11,2018-11-02,08:30:00,Vía pública,No especificado,Vía pública,Intervención policial,No especificado
16214,170.0,2018,11,2018-11-04,12:30:00,Interior de rodados,No especificado,Interior de rodados,Intervención policial,No especificado
16215,100.0,2018,11,2018-11-13,18:50:00,Vía pública,No especificado,Vía pública,Intervención policial,No especificado
16216,170.0,2018,11,2018-11-15,21:30:00,Vía pública,No especificado,Vía pública,Intervención policial,No especificado
16217,170.0,2018,11,2018-11-22,20:45:00,Domicilio particular,No especificado,Domicilio particular,Intervención policial,No especificado
16218,170.0,2018,11,2018-11-18,20:45:00,Vía pública,No especificado,Vía pública,Intervención policial,No especificado
16219,170.0,2018,11,2018-11-18,20:45:00,Domicilio particular,No especificado,Domicilio particular,Intervención policial,No especificado
16220,170.0,2018,11,2018-11-24,19:40:00,Vía pública,No especificado,Vía pública,Intervención policial,No especificado
16221,170.0,2018,11,2018-11-30,20:45:00,Vía pública,No especificado,Vía pública,Intervención policial,No especificado
16222,270.0,2018,11,2018-11-01,23:10:00,Domicilio particular,No especificado,Domicilio particular,Intervención policial,No especificado
16223,270.0,2018,11,2018-11-03,17:00:00,Vía pública,No especificado,Vía pública,Intervención policial,No especificado
16224,270.0,2018,11,2018-11-05,17:40:00,Vía pública,No especificado,Vía pública,Intervención policial,No especificado
16225,270.0,2018,11,2018-11-06,09:15:00,Domicilio particular,No especificado,Domicilio particular,Intervención policial,No especificado
16226,270.0,2018,11,2018-11-08,09:55:00,Domicilio particular,No especificado,Domicilio particular,Intervención policial,No especificado
16227,270.0,2018,11,2018-11-08,18:00:00,Vía pública,No especificado,Vía pública,Intervención policial,No especificado
16228,280.0,2018,11,2018-11-09,23:00:00,Vía pública,No especificado,Vía pública,Intervención policial,No especificado
16229,270.0,2018,11,2018-11-10,21:30:00,Vía pública,No especificado,Vía pública,Intervención policial,No especificado
16230,310.0,2018,11,2018-11-11,12:15:00,Vía pública,No especificado,Vía pública,Intervención policial,No especificado
16231,270.0,2018,11,2018-11-13,08:00:00,Vía pública,No especificado,Vía pública,Intervención policial,No especificado
16233,270.0,2018,11,2018-11-22,22:30:00,Vía pública,No especificado,Vía pública,Intervención policial,No especificado
16234,310.0,2018,11,2018-11-23,22:15:00,Domicilio particular,No especificado,Domicilio particular,Intervención policial,No especificado
16235,270.0,2018,11,2018-11-24,14:40:00,Vía pública,No especificado,Vía pública,Intervención policial,No especificado
16236,270.0,2018,11,2018-11-25,06:45:00,Interior de rodados,No especificado,Interior de rodados,Intervención policial,No especificado
16237,310.0,2018,11,2018-11-27,04:50:00,Vía pública,No especificado,Vía pública,Intervención policial,No especificado
16238,310.0,2018,11,2018-11-28,11:30:00,Vía pública,No especificado,Vía pública,Intervención policial,No especificado
